iter	Passed	Remaining
239	1065	3373
240	1066	3358
241	1067	3343
242	1068	3328
243	1069	3313
244	1070	3299
245	1072	3288
246	1073	3273
247	1075	3259
248	1076	3245
249	1077	3231
250	1078	3217
251	1079	3202
252	1080	3188
253	1081	3175
254	1082	3161
255	1083	3149
256	1084	3136
257	1085	3122
258	1086	3109
259	1087	3095
260	1088	3082
261	1089	3069
262	1090	3056
263	1091	3043
264	1092	3030
265	1094	3019
266	1095	3008
267	1097	2996
268	1098	2984
269	1099	2972
270	1100	2961
271	1101	2949
272	1103	2937
273	1104	2926
274	1105	2914
275	1106	2902
276	1107	2890
277	1108	2879
278	1109	2867
279	1110	2855
280	1111	2844
281	1112	2832
282	1113	2821
283	1114	2809
284	1115	2798
285	1116	2788
286	1118	2777
287	1119	2766
288	1120	2755
289	1121	2744
290	1122	2734
291	1123	2723
292	1124	2712
293	1125	2701
294	1126	2691
295	1127	2681
296	1128	2671
297	1129	2660
298	1130	2650
299	1131	2640
300	1132	2629
301	1133	2619
302	1134	2609
303	1135	2599
304	1136	2589
305	1137	2579
306	1138	2569
307	1139	2560
308	1140	2551
309	1142	2541
310	1143	2532
311	1143	2522
312	1144	2512
313	1145	2503
314	1146	2494
315	1147	2484
316	1148	2475
317	1149	2466
318	1151	2457
319	1152	2448
320	1153	2439
321	1154	2430
322	1155	2420
323	1156	2411
324	1156	2402
325	1157	2394
326	1158	2385
327	1159	2376
328	1160	2367
329	1162	2359
330	1163	2351
331	1164	2343
332	1165	2334
333	1166	2325
334	1167	2317
335	1168	2308
336	1169	2300
337	1170	2292
338	1171	2283
339	1172	2275
340	1173	2267
341	1174	2259
342	1175	2251
343	1176	2243
344	1177	2235
345	1178	2227
346	1179	2219
347	1180	2211
348	1181	2204
349	1182	2196
350	1183	2188
351	1184	2180
352	1186	2174
353	1187	2167
354	1188	2159
355	1189	2152
356	1191	2145
357	1192	2138
358	1193	2130
359	1194	2123
360	1195	2115
361	1196	2108
362	1197	2100
363	1198	2093
364	1199	2086
365	1200	2079
366	1201	2071
367	1202	2064
368	1203	2057
369	1204	2050
370	1205	2043
371	1206	2036
372	1207	2029
373	1209	2023
374	1210	2016
375	1211	2009
376	1212	2002
377	1213	1996
378	1214	1989
379	1215	1982
380	1216	1975
381	1217	1969
382	1218	1962
383	1219	1955
384	1220	1949
385	1221	1942
386	1222	1936
387	1223	1929
388	1224	1922
389	1225	1916
390	1226	1909
391	1227	1903
392	1228	1896
393	1229	1890
394	1230	1884
395	1231	1877
396	1232	1872
397	1233	1866
398	1234	1859
399	1235	1853
400	1236	1847
401	1237	1841
402	1238	1835
403	1239	1828
404	1240	1822
405	1241	1816
406	1242	1810
407	1243	1804
408	1244	1798
409	1245	1792
410	1246	1786
411	1247	1780
412	1248	1774
413	1249	1768
414	1250	1762
415	1251	1756
416	1252	1750
417	1253	1745
418	1254	1739
419	1255	1734
420	1256	1728
421	1257	1722
422	1258	1717
423	1259	1711
424	1260	1705
425	1261	1700
426	1262	1694
427	1263	1688
428	1264	1683
429	1265	1677
430	1266	1672
431	1267	1666
432	1268	1661
433	1269	1656
434	1270	1650
435	1271	1645
436	1272	1639
437	1273	1634
438	1274	1628
439	1275	1623
440	1276	1618
441	1284	1622
442	1286	1617
443	1287	1612
444	1288	1607
445	1289	1602
446	1291	1597
447	1292	1592
448	1293	1587
449	1294	1582
450	1295	1577
451	1296	1572
452	1298	1567
453	1299	1562
454	1301	1559
455	1303	1554
456	1304	1549
457	1305	1544
458	1306	1539
459	1307	1534
460	1308	1529
461	1309	1524
462	1310	1520
463	1311	1515
464	1312	1510
465	1314	1505
466	1315	1501
467	1316	1496
468	1317	1491
469	1318	1487
470	1319	1482
471	1320	1477
472	1322	1473
473	1323	1468
474	1325	1465
475	1326	1460
476	1327	1455
477	1328	1451
478	1330	1447
479	1332	1443
480	1333	1438
481	1334	1433
482	1335	1429
483	1336	1424
484	1337	1420
485	1338	1415
486	1339	1411
487	1340	1406
488	1341	1402
489	1342	1397
490	1343	1393
491	1345	1388
492	1346	1384
493	1349	1382
494	1351	1378
495	1353	1375
496	1358	1374
497	1359	1370
498	1360	1366
499	1362	1362
500	1363	1357
501	1364	1353
502	1365	1349
503	1366	1345
504	1369	1341
505	1373	1340
506	1375	1337
507	1378	1335
508	1380	1332
509	1385	1330
510	1386	1326
511	1387	1322
512	1388	1318
513	1389	1313
514	1391	1310
515	1397	1310
516	1399	1307
517	1402	1305
518	1405	1302
519	1406	1298
520	1409	1296
521	1411	1292
522	1413	1288
523	1415	1286
524	1419	1284
525	1422	1281
526	1424	1278
527	1428	1276
528	1432	1275
529	1434	1271
530	1435	1268
531	1438	1265
532	1442	1264
533	1444	1260
534	1447	1257
535	1449	1254
536	1452	1251
537	1453	1248
538	1455	1244
539	1456	1240
540	1458	1237
541	1460	1234
542	1464	1232
543	1466	1229
544	1469	1227
545	1473	1225
546	1475	1221
547	1476	1218
548	1478	1214
549	1479	1210
550	1482	1208
551	1489	1209
552	1491	1205
553	1494	1202
554	1499	1202
555	1500	1198
556	1502	1194
557	1503	1190
558	1505	1187
559	1506	1183
560	1508	1180
561	1510	1177
562	1513	1174
563	1516	1172
564	1520	1170
565	1523	1168
566	1526	1165
567	1528	1162
568	1530	1159
569	1533	1157
570	1536	1154
571	1537	1150
572	1539	1147
573	1540	1143
574	1542	1140
575	1544	1136
576	1547	1134
577	1553	1134
578	1555	1131
579	1558	1128
580	1561	1126
581	1565	1124
582	1566	1120
583	1567	1116
584	1568	1112
585	1569	1109
586	1571	1105
587	1572	1101
588	1574	1098
589	1577	1096
590	1580	1093
591	1581	1090
592	1583	1087
593	1585	1083
594	1588	1081
595	1589	1077
596	1591	1074
597	1592	1070
598	1593	1066
599	1594	1063
600	1597	1060
601	1598	1057
602	1600	1053
603	1601	1049
604	1602	1046
605	1603	1042
606	1604	1039
607	1605	1035
608	1606	1031
609	1607	1027
610	1608	1024
611	1609	1020
612	1610	1016
613	1611	1013
614	1612	1009
615	1613	1006
616	1614	1002
617	1615	998
618	1616	995
619	1619	992
620	1621	989
621	1622	985
622	1623	982
623	1624	978
624	1626	975
625	1627	972
626	1628	968
627	1629	965
628	1630	961
629	1631	958
630	1632	954
631	1634	951
632	1636	948
633	1637	945
634	1639	942
635	1640	939
636	1643	936
637	1644	933
638	1645	929
639	1646	926
640	1647	922
641	1649	919
642	1650	916
643	1651	912
644	1652	909
645	1653	906
646	1654	902
647	1655	899
648	1656	896
649	1658	892
650	1659	889
651	1660	886
652	1661	882
653	1663	879
654	1665	877
655	1666	874
656	1667	870
657	1668	867
658	1669	864
659	1670	860
660	1671	857
661	1672	854
662	1673	850
663	1674	847
664	1675	844
665	1676	840
666	1677	837
667	1678	834
668	1679	831
669	1680	827
670	1681	824
671	1683	821
672	1684	818
673	1685	815
674	1686	812
675	1688	809
676	1689	806
677	1691	803
678	1693	800
679	1694	797
680	1695	794
681	1697	791
682	1699	788
683	1700	785
684	1702	782
685	1703	779
686	1705	776
687	1706	773
688	1708	771
689	1711	769
690	1713	766
691	1715	763
692	1716	760
693	1717	757
694	1718	754
695	1719	751
696	1720	747
697	1721	744
698	1722	741
699	1723	738
700	1724	735
701	1725	732
702	1726	729
703	1727	726
704	1728	723
705	1729	720
706	1730	717
707	1731	714
708	1733	711
709	1735	708
710	1736	705
711	1737	702
712	1738	699
713	1739	696
714	1740	693
715	1741	690
716	1742	687
717	1743	684
718	1744	681
719	1745	678
720	1746	675
721	1747	672
722	1748	669
723	1749	666
724	1750	663
725	1751	660
726	1752	657
727	1753	655
728	1754	652
729	1755	649
730	1757	646
731	1758	643
732	1759	640
733	1760	637
734	1761	634
735	1762	632
736	1763	629
737	1764	626
738	1765	623
739	1766	620
740	1767	617
741	1768	615
742	1769	612
743	1770	609
744	1771	606
745	1772	603
746	1773	600
747	1774	597
748	1775	595
749	1776	592
750	1777	589
751	1779	586
752	1780	584
753	1781	581
754	1782	578
755	1783	575
756	1784	572
757	1785	570
758	1786	567
759	1787	564
760	1788	561
761	1789	558
762	1790	556
763	1791	553
764	1792	550
765	1793	547
766	1794	545
767	1795	542
768	1796	539
769	1797	536
770	1798	534
771	1799	531
772	1800	528
773	1801	525
774	1803	523
775	1804	520
776	1805	518
777	1806	515
778	1808	512
779	1809	510
780	1810	507
781	1811	504
782	1812	502
783	1813	499
784	1814	496
785	1815	494
786	1815	491
787	1816	488
788	1817	486
789	1818	483
790	1819	480
791	1820	478
792	1821	475
793	1822	472
794	1823	470
795	1825	467
796	1826	465
797	1827	462
798	1828	460
799	1829	457
800	1830	454
801	1831	452
802	1832	449
803	1833	447
804	1834	444
805	1835	441
806	1836	439
807	1837	436
808	1838	434
809	1839	431
810	1840	428
811	1841	426
812	1842	423
813	1843	421
814	1844	418
815	1845	416
816	1846	413
817	1847	411
818	1849	408
819	1850	406
820	1851	403
821	1852	401
822	1853	398
823	1854	396
824	1855	393
825	1856	390
826	1857	388
827	1858	385
828	1859	383
829	1860	380
830	1861	378
831	1862	375
832	1863	373
833	1864	371
834	1865	368
835	1866	366
836	1867	363
837	1868	361
838	1869	358
839	1870	356
840	1872	353
841	1873	351
842	1874	349
843	1875	346
844	1877	344
845	1878	342
846	1881	339
847	1882	337
848	1883	335
849	1884	332
850	1885	330
851	1886	327
852	1887	325
853	1888	322
854	1889	320
855	1890	318
856	1891	315
857	1893	313
858	1895	311
859	1897	308
860	1899	306
861	1900	304
862	1901	301
863	1903	299
864	1904	297
865	1904	294
866	1905	292
867	1906	289
868	1907	287
869	1908	285
870	1909	282
871	1910	280
872	1911	278
873	1912	275
874	1913	273
875	1914	271
876	1915	268
877	1917	266
878	1918	264
879	1919	261
880	1920	259
881	1921	257
882	1922	254
883	1923	252
884	1924	250
885	1925	247
886	1926	245
887	1927	243
888	1928	240
889	1929	238
890	1930	236
891	1931	233
892	1932	231
893	1933	229
894	1934	226
895	1935	224
896	1936	222
897	1937	220
898	1938	217
899	1939	215
900	1941	213
901	1942	211
902	1943	208
903	1944	206
904	1945	204
905	1946	201
906	1947	199
907	1948	197
908	1949	195
909	1950	192
910	1951	190
911	1952	188
912	1953	186
913	1954	183
914	1955	181
915	1956	179
916	1957	177
917	1958	174
918	1959	172
919	1960	170
920	1961	168
921	1962	165
922	1963	163
923	1964	161
924	1965	159
925	1966	157
926	1967	154
927	1968	152
928	1969	150
929	1970	148
930	1971	146
931	1972	143
932	1973	141
933	1975	139
934	1976	137
935	1977	135
936	1978	133
937	1979	130
938	1980	128
939	1981	126
940	1982	124
941	1983	122
942	1984	119
943	1985	117
944	1987	115
945	1988	113
946	1989	111
947	1990	109
948	1992	107
949	1993	104
950	1994	102
951	1995	100
952	1996	98
953	1997	96
954	1998	94
955	1999	92
956	2000	89
957	2001	87
958	2002	85
959	2003	83
960	2004	81
961	2004	79
962	2005	77
963	2006	74
964	2008	72
965	2010	70
966	2011	68
967	2012	66
968	2013	64
969	2014	62
970	2015	60
971	2016	58
972	2017	55
973	2018	53
974	2019	51
975	2020	49
976	2021	47
977	2022	45
978	2023	43
979	2025	41
980	2026	39
981	2027	37
982	2028	35
983	2029	32
984	2030	30
985	2030	28
986	2031	26
987	2032	24
988	2033	22
989	2034	20
990	2037	18
991	2042	16
992	2046	14
993	2051	12
994	2054	10
995	2058	8
996	2062	6
997	2068	4
998	2074	2
999	2078	0
